,Iron,Oil,Stone,Aluminum,Gold,Tungsten,Uranium,Copper,Wood
Urumqi,,0.2,0.8,,,,,,
Lanzhou,,0.1,0.3,,,,,,
Hohhot,0.4,,0.3,,,,,,
Xining,,0.1,0.7,,,,,,
Yinchuan,,0.2,0.4,,,,,,0.1
Xi'An,,0.1,0.3,,,,,,0.3
Lhasa,,0.2,0.9,,,,,,0.3
Chengdu,,0.3,0.1,,,,,0.7,1.1
Chongqing,,0.3,0.1,,,,,0.7,1.1
Kunming,,0.1,0.2,,,,,0.7,0.7
Guiyang,,0.2,0.1,,,,,1.0,0.8
Nanning,,,0.3,,,0.3,,,1.0
Olgii,,,0.3,,,0.3,,0.7,0.1
Ulaangom,,,0.1,,,0.3,,0.7,
Dund-Us,,,,,,0.3,,0.7,0.2
Uliastay,,,,,,,,,
Moron,,,0.2,0.7,0.3,,,,0.1
Tsetserleg,,,0.2,0.7,0.3,,,,0.2
Bayankhongor,,,,,0.5,,,,
Arvayheer,,,0.2,,,,,,0.1
Bulgan,,,0.1,,,,,,
Erdenet,,,,0.7,0.3,,,,0.2
Dalandzadgad,,0.5,,,,,,0.5,
Suchboatar,0.7,,0.2,,0.3,,,,0.1
Darhan,0.7,,0.2,,0.3,,,,0.2
Dzuunharaa,,,,,0.3,,,,
Ulaanbaatar,,,0.2,,0.5,,,,0.1
Buyant-Uhaa,,0.5,0.1,,,,,0.5,
Ondorhaan,,,,,,,,,0.2
Baruun Urt,,,,,,,,,
Choybalsan,,,0.2,,,,,,0.1
Taiyuan,0.7,0.1,0.1,2.0,,,,,0.1
Zhengzhou,,,0.4,,,,,,0.3
Hefei,,,0.1,,,,0.3,,0.5
Wuhan,,0.1,0.2,,,,,,0.4
Nanchang,,,0.2,,,0.3,,,0.8
Changsha,,,0.1,,,,,,1.1
Seoul,,,0.5,,,,,,1.0
Pyongyang,0.5,,0.1,,,,,,0.4
Changchun,,0.1,,0.3,,,,,0.7
Harbin,,,,0.3,,,,,0.3
Nagasaki,,,0.3,,,,,,0.3
Fukuoka,,,0.3,,,,,,0.7
Hiroshima,,,0.4,,,,,,0.4
Osaka,,,0.2,,,,,,0.6
Kyoto,,,0.3,,,,,,1.1
Nagoya,,0.2,0.1,,,,,,1.3
Kanaza,,,0.5,,,,,,1.4
Sendai,,0.2,0.4,,,,,,0.8
Macao,,,0.2,,,,,,0.5
Shijianzhuang,0.7,0.1,0.1,,,,,,0.3
Tianjin,,,0.3,,,,,,0.1
Jinan,0.2,0.3,0.1,,,,,,
Nanjing,,,0.3,,,,0.3,,
Hangzhou,,,0.6,,,,,,
Fuzhou,,,0.4,,,,,,0.6
Guangzhou,,,0.2,,,,,,0.7
Haikou,,0.1,0.1,,,,,,0.5
Beijing,,,0.1,,,,,,0.3
Shanghai,,0.1,0.4,,,,,,
Hong Kong,,,0.2,,,,,,0.3
Taipei,,0.5,0.1,,,,,,0.8
Liaoning,0.7,0.1,0.1,,0.1,,,,0.3
Changchun,,0.1,,0.3,,,,,0.7
Harbin,,,,0.3,,,,,0.3
Exurbia City,0.5,,0.1,,,,,,0.4
Hazy Cloud,,0.3,0.3,,,,,,1.5
Milabo Port,,0.1,0.4,,,,,0.4,1.2
Leh,,,,,,,,,
Jammu,,,0.1,,,,,,0.3
Shimla,,,0.2,,,,,,0.5
Chandigarh,,,0.2,,,,,,0.5
Dehradun,,,0.2,,,,,,0.1
Lucknow,,,,,,,,,0.9
Jaipur,,,0.1,,,,,0.3,0.2
Patna,,,0.2,,,,,,0.6
Gandhinagar,,,0.1,,,,,,0.2
Bhopal,,,0.1,,,,,,0.3
Raipur,0.3,,0.1,0.3,,,,,0.7
Ranchi,1.0,,0.4,0.5,,,,,0.2
Bhubaneswar,,,0.2,,,,,,0.1
Kolkata,,,0.2,,,,,,0.8
Gangtok,,,0.5,,,,,,
Guwahati,,,0.1,,,,,,0.5
Shillong,,,0.1,,,,,,0.6
Itanagar,,0.3,0.1,,,,,,0.2
Kohima,,0.3,0.1,,,,,,0.3
Imphal,,0.3,0.2,,,,,,0.1
Agartala,,2.0,,,,,,,1.0
Aizawl,,,,,,,,,1.4
Mumbai,,,0.3,,,,,,0.4
Hyderabad,,,0.1,,,,,,0.1
Panaji,,,0.4,,,,,,0.1
Bengaluru,1.0,,0.1,,0.3,,,,0.2
Vijayawada,,0.5,0.3,,,,,,0.6
Thiruvananthapuram,,0.3,0.5,,,,,,0.5
Chennai,,,0.6,,,,,,0.3
Port Blair,,,0.4,,,,,,0.5
Bhaluwang,,,0.2,,,,,,0.1
Salyan,,,0.2,,,,,,0.1
Kathmandu,,,0.2,,,,,,0.1
Thimphu,,,0.1,,,,,,0.4
Paro,,,0.1,,,,,,0.4
Wangdue Prodrang,,,0.1,,,,,,0.4
Punakha,,,0.1,,,,,,0.4
Rangpur,,,0.1,,,,,,0.3
Rajshahi,,0.3,0.1,,,,,,0.5
Mymensingh,,,0.1,,,,,,0.3
Sylhet,,2.0,0.2,,,,,,0.4
Khulna,,,,,,,,,0.2
Barisal,,,0.1,,,,,,0.3
Chittagong,,1.0,0.2,,,,,,0.7
Dhaka,,,,,,,,,0.4
New Dehli,,,0.2,,,,,0.3,0.5
